dataid,prediction
1,3670.0
2,3613.0
3,5046.0
4,3484.0
5,4121.0
6,4121.0
7,4506.0
8,3877.0
9,4595.0
10,3771.0
11,3714.0
12,3785.0
13,4564.0
14,4003.0
15,3824.0
16,4322.0
17,5889.0
18,4029.0
19,4096.0
20,4914.0
21,3980.0
22,3871.0
23,5032.0
24,3667.0
25,3334.0
26,4618.0
27,4364.0
28,4429.0
29,5891.0
30,6213.0
31,5031.0
32,6053.0
33,4880.0
34,4963.0
35,5572.0
36,5481.0
37,5673.0
38,5295.0
39,9313.0
40,6372.0
41,7697.0
42,9742.0
43,5564.0
44,5316.0
45,5703.0
46,6290.0
47,6878.0
48,6213.0
49,7619.0
50,6100.0
51,5500.0
52,6685.0
53,6423.0
54,11531.0
55,9185.0
56,7556.0
57,7636.0
58,7546.0
59,5028.0
60,5929.0
61,4944.0
62,5591.0
63,6384.0
64,5572.0
65,6399.0
66,10359.0
67,10641.0
68,8250.0
69,11040.0
70,8707.0
71,6256.0
72,4557.0
73,6569.0
74,7360.0
75,9329.0
76,4011.0
77,3449.0
78,5549.0
79,3636.0
80,8771.0
81,4659.0
82,4124.0
83,3947.0
84,3872.0
85,4854.0
86,4007.0
87,4028.0
88,6184.0
89,8793.0
90,8320.0
91,13565.0
92,4168.0
93,6181.0
94,4044.0
95,4689.0
96,3908.0
97,6769.0
98,5081.0
99,3557.0
100,3723.0
101,5505.0
102,4559.0
103,4720.0
104,3369.0
105,4428.0
106,6212.0
107,4628.0
108,4273.0
109,4384.0
110,3069.0
111,4210.0
112,4995.0
113,5635.0
114,4183.0
115,3458.0
116,3998.0
117,3342.0
118,5285.0
119,3605.0
120,3933.0
121,6246.0
122,5121.0
123,3930.0
124,3391.0
125,3624.0
126,3528.0
127,4570.0
128,3832.0
129,3618.0
130,5266.0
131,6566.0
132,6109.0
133,6676.0
134,4243.0
135,6015.0
136,4181.0
137,4557.0
138,4155.0
139,6448.0
140,5978.0
141,4870.0
142,4504.0
143,3669.0
144,4233.0
145,4696.0
146,5441.0
147,5129.0
148,5088.0
149,3988.0
150,4862.0
151,4809.0
152,5666.0
153,4709.0
154,4824.0
155,3472.0
156,4209.0
157,5550.0
158,3468.0
159,5533.0
160,6048.0
161,4590.0
162,6154.0
163,3959.0
164,7540.0
165,3344.0
166,3687.0
167,4021.0
168,4859.0
169,4302.0
170,2765.0
171,3404.0
172,3828.0
173,2995.0
174,2825.0
175,3158.0
176,2503.0
177,3405.0
178,3788.0
179,3392.0
180,3375.0
181,3631.0
182,3999.0
183,3247.0
184,3806.0
185,3527.0
186,3359.0
187,3533.0
188,3125.0
189,3795.0
190,4455.0
191,3711.0
192,3131.0
193,7490.0
194,3543.0
195,3283.0
196,4579.0
197,3534.0
198,4639.0
199,5332.0
200,5309.0
201,5310.0
202,3818.0
203,6187.0
204,4023.0
205,4241.0
206,3779.0
207,3658.0
208,4943.0
209,3812.0
210,7770.0
211,4235.0
212,8079.0
213,3693.0
214,3854.0
215,3451.0
216,3638.0
217,3517.0
218,3787.0
219,4444.0
220,3615.0
221,3794.0
222,6342.0
223,6016.0
224,3212.0
225,3231.0
226,3445.0
227,3270.0
228,3196.0
229,3806.0
230,4057.0
231,7750.0
232,4396.0
233,3737.0
234,4273.0
235,3886.0
236,3708.0
237,6868.0
238,3587.0
239,3225.0
240,3737.0
241,4394.0
242,3533.0
243,6973.0
244,6551.0
245,3866.0
246,4158.0
247,3902.0
248,4886.0
249,4390.0
250,8427.0
251,8644.0
252,6401.0
253,6106.0
254,4810.0
255,5820.0
256,4771.0
257,6443.0
258,8037.0
259,7114.0
260,3419.0
261,4249.0
262,7697.0
263,5775.0
264,9327.0
265,9155.0
266,8570.0
267,6117.0
268,4581.0
269,6210.0
270,5262.0
271,8919.0
272,6812.0
273,7428.0
274,6817.0
275,6571.0
276,6628.0
277,7400.0
278,5076.0
279,4666.0
280,8240.0
281,8089.0
282,6228.0
283,5164.0
284,7775.0
285,8142.0
286,5936.0
287,8393.0
288,5684.0
289,8624.0
290,4985.0
291,5963.0
292,5824.0
293,7079.0
294,7522.0
295,5766.0
296,6936.0
297,4498.0
298,7895.0
299,6819.0
300,5808.0
301,3410.0
302,4660.0
303,5999.0
304,4267.0
305,7762.0
306,5474.0
307,4581.0
308,4443.0
309,5223.0
310,4623.0
311,5259.0
312,4914.0
313,5136.0
314,5188.0
315,5361.0
316,4327.0
317,5656.0
318,5787.0
319,5758.0
320,5510.0
321,7433.0
322,5757.0
323,5880.0
324,6387.0
325,4826.0
326,7121.0
327,7019.0
328,7313.0
329,7364.0
330,8434.0
331,7791.0
332,6132.0
333,10300.0
334,8126.0
335,11939.0
336,4756.0
337,4177.0
338,4059.0
339,3757.0
340,4671.0
341,4458.0
342,4082.0
343,3919.0
344,4554.0
345,4477.0
346,4817.0
347,5194.0
348,3589.0
349,5299.0
350,5250.0
351,5757.0
352,4816.0
353,4783.0
354,3962.0
355,5378.0
