dataid,prediction
1,1994.8518011743397
2,2001.7058505523428
3,2000.9232165447893
4,2001.8645911117912
5,2001.8699123754034
6,2001.3819365601926
7,2002.1584191945287
8,2000.496893873452
9,2001.2394957341057
10,2001.0506803144183
11,2002.2987447040882
12,2001.737894895012
13,2001.3106025803152
14,2003.110733495665
15,2003.8047013093794
16,2001.6669479643435
17,2001.2635301581236
18,1999.9899784464474
19,2002.9329561357315
20,2000.0193201843454
21,2003.9852148307507
22,2000.878793293754
23,2000.118444068997
24,2002.3537912900156
25,2001.5253365541055
26,1997.6987386247952
27,2002.8803669697775
28,2003.304224684116
29,1994.4581382505864
30,1998.001084699875
31,2004.0521549635473
32,1999.0344572699262
33,2000.7113009094755
34,1997.299253749113
35,1999.9239667904762
36,1997.5439223295202
37,1998.2623959210773
38,2001.8545905869644
39,2001.325900102952
40,2000.820857656323
41,2005.45114460321
42,2004.7712076626678
43,2007.536724187782
44,1997.9414470287697
45,2004.1270195514555
46,2004.1690851902495
47,2010.1508994734638
48,2000.90340309638
49,2004.174213666511
50,2005.049107678617
51,2002.5166264502654
52,2005.8560470922134
53,2006.803639905692
54,2002.2865522752188
55,2009.445873499277
56,2007.1831240074662
57,2007.323313086064
58,2002.717126128114
59,2004.912910717544
60,2005.4992911636743
61,2003.645004028165
62,2005.015496654071
63,2004.6725854635326
64,2003.6449156028511
65,2002.179720724555
66,2002.410247603724
67,2004.9435846107203
68,2006.3286495836962
69,2012.4703265839507
70,1999.3608647971894
71,1985.3948467788607
72,1980.8632655431095
73,1988.0092536448883
74,1983.9026160930057
75,1987.7327731619955
76,1998.6183927842956
77,1995.0238569430367
78,1999.0481244952084
79,1999.29634458884
80,1996.5448370611914
81,2000.5283956641997
82,1998.5018299441854
83,1998.843212247142
84,1999.9233499085785
85,1998.4973365546498
86,1999.3582795752577
87,1996.9475200152142
88,1974.2168447893857
89,1995.6908003067952
90,1999.753838379671
91,1985.5545550158063
92,1995.8792041393938
93,1998.2168946604047
94,1993.587383964868
95,1990.453538191455
96,1996.6503443494819
97,1991.3318166135148
98,1994.099349861503
99,1993.8091504092597
100,1999.2369848442975
101,1997.2661022037323
102,1997.8149237104685
103,2001.0745963297863
104,1996.2899080057418
105,2000.1078313186808
106,1999.7659255025023
107,1996.2757166506854
108,1997.8254234612723
109,1995.0596570578166
110,1998.4688942054713
111,2000.1344764340615
112,1998.4803219476921
113,1996.654087687195
114,1998.1598288830335
115,1998.2161903138788
116,1995.5496060692885
117,1997.5576152171352
118,2001.6742228837634
119,1997.1601658029747
120,1998.2558832335667
121,1999.478449108042
122,1997.924487582775
123,1991.0988810200806
124,1992.2527426171125
125,1991.4655017039584
126,1992.8400751269592
127,1993.065187259701
128,2000.5355562189409
129,1991.9113100345376
130,2001.2344454323993
131,2000.9622988176357
132,1999.2508245794797
133,2002.2339857331692
134,1999.810800320282
135,2000.7071707962286
136,2000.5706426957865
137,2000.7866064665186
138,1999.3415167258888
139,2001.970221245643
140,2001.1262259126547
141,1999.380021110045
142,1999.4064512874759
143,2000.4881264124908
144,1999.2792817481234
145,2000.839940338141
146,1996.2232468886803
147,1998.4631636824224
148,2000.9109820894832
149,1998.5409295617337
150,2000.2412132143872
151,2001.7057890609667
152,2000.561917656374
153,2000.7497715981222
154,1999.309395531049
155,1999.555709089071
156,1998.5988882922054
157,1998.0080525679052
158,2000.1028100476017
159,1999.0501354697383
160,1999.6574440643105
161,1998.9333352405513
162,1998.5625395011436
163,1998.6393932895185
164,1991.8981024627003
165,2000.236930596509
166,2001.204604690122
167,2000.8586500260774
168,2001.5407809912588
169,2000.6581759730072
170,2000.2806852606489
171,2000.6556459142505
172,2001.4491185881234
173,2001.0498496218263
174,1999.204141793834
175,2000.344430038431
176,2001.5044583510262
177,2001.0060044549027
178,2001.3040803596875
179,2003.1076344888852
180,2001.322777967606
181,2003.377169280173
182,2000.4930571741313
183,2002.1650935150656
184,2001.3373898598725
185,2000.4583686233443
186,2000.5834281200448
187,2000.3416809542964
188,1999.8611995565693
189,2000.779788934434
190,2002.1017037657755
